Neighborhood,Id,FinishedBasement,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Basement,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,BathTotal,KitchenAbvGr,TotRmsAbvGrd,GarageCars,WoodDeckSF,OpenPorchSF,LOG(Porch),EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice,Zeros,YearBuilt2,YearsFromNow,LOG(YFN),OverallQual,OverallCond,ExterQual_NUM,ExterCond_NUM,KitchenQual_NUM,QUALITY,logqual,tot_porch
Edwards,440,0,0,0,684,1,684,684,512,1196,0,0,1,0,3,1,1,7,2,0,46,1.662757832,0,0,0,0,110000,11,1920,100,2,6,8,3,3,4,24,1.812913357,0
Edwards,442,1,133,0,1307,1,1440,1440,0,1440,0,0,2,0,4,2,2,8,0,0,0,0.01,0,0,0,0,118000,12,1955,65,1.812913357,4,4,3,3,2,16,1.462397998,0
Edwards,446,0,0,0,1436,1,1436,1689,0,1689,0,0,1,0,3,1,1,7,2,0,0,0.01,0,0,0,0,127500,13,1956,64,1.806179974,6,5,3,3,3,20,1.653212514,0
Edwards,473,1,459,0,88,1,547,1072,0,1072,1,0,1,0,2,1,1,5,2,0,28,1.447158031,0,0,0,0,148000,9,2005,15,1.176091259,6,5,3,3,3,20,1.653212514,0
Edwards,503,1,698,96,420,1,1214,1214,0,1214,1,0,1,0,2,1,1,6,2,0,0,0.01,184,0,0,0,140000,8,1965,55,1.740362689,5,7,3,3,3,21,1.698970004,184
Edwards,524,1,2260,0,878,1,3138,3138,1538,4676,1,0,3,1,3,3.5,1,11,3,208,406,2.608526034,0,0,0,0,184750,6,2007,13,1.113943352,10,5,5,3,5,28,1.875061263,0
Edwards,529,1,348,0,180,1,528,605,0,605,1,0,1,0,2,1,1,5,0,0,0,0.01,144,0,0,0,86000,10,1920,100,2,4,7,3,3,3,20,1.633468456,144
Edwards,536,1,969,0,148,1,1117,820,527,1347,1,0,1,0,3,1,1,5,0,85,0,0.01,148,0,0,0,107500,8,1910,110,2.041392685,5,7,3,3,3,21,1.698970004,148
Edwards,554,0,0,0,0,0,0,1126,0,1126,0,0,2,0,2,2,1,5,2,0,96,1.982271233,0,0,0,0,108000,15,1949,71,1.851258349,4,5,3,3,4,19,1.568201724,0
Edwards,563,1,290,0,706,1,996,996,0,996,1,0,1,0,3,1,1,6,0,144,0,0.01,0,0,0,0,108000,10,1940,80,1.903089987,5,6,3,3,3,20,1.653212514,0
Edwards,564,0,0,0,1163,1,1163,1163,511,1674,0,0,2,0,4,2,1,8,2,72,36,1.556302501,0,0,144,0,185000,9,1918,102,2.008600172,6,7,3,3,3,22,1.755874856,144
Edwards,583,1,816,0,0,1,816,816,0,816,1,0,1,0,3,1,1,5,0,0,32,1.505149978,0,0,0,0,118500,11,1990,30,1.477121255,6,5,3,4,3,21,1.681241237,0
Edwards,608,1,603,0,293,1,896,1112,896,2008,1,0,3,0,3,3,1,8,1,103,0,0.01,0,0,0,0,225000,8,1948,72,1.857332496,5,8,3,4,5,25,1.792391689,0
Edwards,621,1,41,0,823,1,864,864,0,864,1,0,1,0,2,1,1,5,0,0,0,0.01,100,0,0,0,67000,10,1914,106,2.025305865,3,3,3,3,3,15,1.380211242,100
Edwards,639,0,0,0,796,1,796,796,0,796,0,0,1,0,2,1,1,4,0,328,0,0.01,164,0,0,0,85000,12,1910,110,2.041392685,5,7,3,3,3,21,1.698970004,164
Edwards,648,1,500,0,594,1,1094,1094,0,1094,0,0,1,0,3,1,1,5,2,0,0,0.01,0,0,287,0,155000,10,1953,67,1.826074803,6,5,3,3,3,20,1.653212514,287
Edwards,652,0,0,0,755,1,755,755,755,1510,1,0,1,0,4,1,1,7,1,120,0,0.01,0,0,0,0,108000,10,1940,80,1.903089987,4,5,3,3,3,18,1.544068044,0
Edwards,660,1,637,0,849,1,1486,1486,0,1486,1,0,1,0,3,1,1,7,2,0,0,0.01,0,0,0,0,167000,10,1964,56,1.748188027,5,7,3,4,3,22,1.72427587,0
Edwards,664,1,920,180,38,1,1138,1181,0,1181,1,0,2,0,3,2,1,6,2,0,0,0.01,180,0,0,0,137500,8,1972,48,1.681241237,4,5,3,3,3,18,1.544068044,180
Edwards,672,1,551,0,121,1,672,697,672,1369,1,0,2,0,3,2,1,6,1,147,0,0.01,0,0,0,0,103600,8,1925,95,1.977723605,6,6,3,4,3,22,1.73239376,0
Edwards,698,1,210,551,219,1,980,1148,0,1148,0,1,1,0,2,1,1,6,1,0,0,0.01,0,0,0,0,123500,9,1952,68,1.832508913,5,7,3,3,3,21,1.698970004,0
Edwards,724,0,0,0,941,1,941,997,473,1470,0,0,2,0,4,2,1,7,1,0,0,0.01,0,0,156,0,135000,11,1954,66,1.819543936,4,6,3,3,3,19,1.591064607,156
Edwards,725,1,1234,0,464,1,1698,1698,0,1698,1,0,2,0,3,2,1,8,3,327,64,1.806179974,0,0,0,0,320000,8,2007,13,1.113943352,9,5,5,3,5,27,1.84509804,0
Edwards,739,1,1200,0,0,1,1200,1200,0,1200,3,0,3,0,3,3,1,5,0,120,0,0.01,0,0,0,0,179000,11,1987,33,1.51851394,5,5,3,3,3,19,1.602059991,0
Edwards,750,0,0,0,0,0,0,1088,441,1529,0,0,2,0,4,2,1,9,1,92,0,0.01,185,0,0,0,98000,13,1945,75,1.875061263,4,3,3,3,3,16,1.431363764,185
Edwards,772,1,836,0,0,1,836,1220,0,1220,0,0,1,0,2,1,1,6,2,0,0,0.01,0,0,0,0,102000,12,1951,69,1.838849091,4,5,3,3,3,18,1.544068044,0
Edwards,773,1,422,127,480,1,1029,1117,0,1117,1,0,1,0,3,1,1,6,2,144,0,0.01,0,0,0,0,107000,8,1976,44,1.643452676,6,5,3,3,3,20,1.653212514,0
Edwards,815,0,0,0,686,1,686,686,564,1250,0,1,1,1,3,1.5,1,7,1,207,0,0.01,96,0,0,0,116000,8,1918,102,2.008600172,5,7,3,3,2,20,1.681241237,96
Edwards,840,1,352,0,416,1,768,768,432,1200,0,0,1,0,3,1,1,6,1,0,0,0.01,0,0,0,0,130500,10,1946,74,1.86923172,5,6,3,3,3,20,1.653212514,0
Edwards,881,1,980,0,110,1,1090,1090,0,1090,1,0,1,1,2,1.5,1,5,2,0,49,1.69019608,0,0,0,0,157000,8,2005,15,1.176091259,5,5,3,3,3,19,1.602059991,0
Edwards,888,0,0,0,816,1,816,872,521,1393,0,0,1,1,3,1.5,1,8,1,121,0,0.01,0,0,265,0,135500,9,1955,65,1.812913357,5,7,3,4,3,22,1.72427587,265
Edwards,918,1,1059,0,75,1,1134,1229,0,1229,0,0,1,0,3,1,1,6,1,0,0,0.01,0,0,0,0,135000,11,1956,64,1.806179974,4,6,3,3,3,19,1.591064607,0
Edwards,922,1,1084,0,188,1,1272,1272,928,2200,2,0,2,2,4,3,2,9,0,0,70,1.84509804,0,0,0,0,145900,8,1900,120,2.079181246,5,7,3,3,3,21,1.698970004,0
Edwards,943,1,1440,0,0,1,1440,1440,0,1440,2,0,2,0,4,2,2,8,0,321,0,0.01,0,0,0,0,150000,11,1977,43,1.633468456,4,3,3,3,3,16,1.431363764,0
Edwards,955,1,945,0,0,1,945,980,0,980,0,2,2,0,4,2,0,4,0,0,0,0.01,0,0,0,0,127500,13,1975,45,1.653212514,6,5,3,3,3,20,1.653212514,0
Edwards,979,1,552,0,342,1,894,894,0,894,0,0,1,0,3,1,1,5,2,0,0,0.01,0,0,0,0,110000,11,1954,66,1.819543936,4,5,3,3,3,18,1.544068044,0
Edwards,986,1,1040,0,124,1,1164,1164,0,1164,1,0,1,0,3,1,1,5,1,0,48,1.681241237,0,0,0,0,125000,9,1950,70,1.84509804,5,5,3,3,3,19,1.602059991,0
Edwards,1001,0,0,0,0,0,0,944,0,944,0,0,1,0,2,1,1,4,2,0,0,0.01,0,0,0,0,82000,16,1952,68,1.832508913,3,3,3,3,2,14,1.342422681,0
Edwards,1012,0,0,0,0,0,0,1664,0,1664,0,0,2,0,4,2,2,8,0,0,0,0.01,0,0,0,0,100000,17,1965,55,1.740362689,5,5,3,3,3,19,1.602059991,0
Edwards,1021,1,1024,0,108,1,1132,1132,0,1132,1,0,1,1,2,1.5,1,5,2,252,64,1.806179974,0,0,0,0,176000,7,2005,15,1.176091259,4,5,3,3,4,19,1.568201724,0
Edwards,1036,0,0,0,0,0,0,845,0,845,0,0,1,0,3,1,1,5,1,186,0,0.01,0,0,0,0,84000,15,1957,63,1.799340549,4,3,3,4,3,17,1.477121255,0
Edwards,1046,0,0,0,0,0,0,1733,0,1733,0,0,2,0,4,2,1,8,2,0,0,0.01,0,0,0,0,139600,16,1955,65,1.812913357,3,5,3,3,3,17,1.477121255,0
Edwards,1050,0,0,0,0,0,0,930,0,930,0,0,1,0,2,1,1,6,1,0,0,0.01,0,0,0,0,84900,16,1946,74,1.86923172,4,7,3,3,4,21,1.653212514,0
Edwards,1054,1,383,0,833,1,1216,1526,0,1526,0,0,1,0,4,1,1,7,1,116,78,1.892094603,0,0,0,0,144500,9,1957,63,1.799340549,5,6,3,3,3,20,1.653212514,0
Edwards,1073,0,0,0,810,1,810,1002,454,1456,1,1,1,0,4,1,1,7,1,0,0,0.01,0,0,0,0,91500,10,1948,72,1.857332496,5,3,3,3,3,17,1.477121255,0
Edwards,1074,1,535,0,155,1,690,698,728,1426,0,0,1,1,3,1.5,1,6,2,252,0,0.01,0,0,0,0,159500,8,1977,43,1.633468456,6,6,3,3,3,21,1.707570176,0
Edwards,1089,0,0,0,970,1,970,970,739,1709,0,0,2,0,3,2,1,7,2,0,40,1.602059991,0,0,0,0,137500,11,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Edwards,1123,0,0,0,672,1,672,960,0,960,0,0,1,0,3,1,1,5,1,64,0,0.01,0,0,160,0,112000,11,1956,64,1.806179974,4,3,3,3,3,16,1.431363764,160
Edwards,1124,0,0,0,698,1,698,698,0,698,0,1,1,0,2,1,1,4,0,0,200,2.301029996,0,0,0,0,118000,12,1947,73,1.86332286,5,9,3,5,3,25,1.819543936,0
Edwards,1145,1,348,0,324,1,672,672,252,924,1,0,1,0,2,1,1,5,1,0,0,0.01,0,0,0,0,80000,9,1941,79,1.897627091,4,4,3,2,2,15,1.414973348,0
Edwards,1152,1,176,0,1290,1,1466,1466,0,1466,0,0,1,1,3,1.5,1,6,2,0,140,2.146128036,0,0,100,0,149900,8,1959,61,1.785329835,5,4,3,3,2,17,1.51851394,100
Edwards,1169,1,626,0,501,1,1127,1236,872,2108,0,0,2,0,4,2,1,7,2,0,0,0.01,0,0,90,0,235000,9,1935,85,1.929418926,6,7,3,3,4,23,1.770852012,90
Edwards,1180,0,0,0,0,0,0,1124,0,1124,0,0,1,0,3,1,1,5,0,0,36,1.556302501,190,0,0,0,93000,15,1954,66,1.819543936,5,5,3,3,3,19,1.602059991,190
Edwards,1186,1,392,0,392,1,784,949,272,1221,1,0,1,0,4,1,1,7,1,0,0,0.01,236,0,0,0,104900,8,1924,96,1.982271233,5,7,3,4,3,22,1.72427587,236
Edwards,1213,1,344,0,328,1,672,672,0,672,1,0,1,0,2,1,1,4,1,0,113,2.053078443,0,0,0,0,113000,9,1941,79,1.897627091,4,6,3,3,3,19,1.591064607,0
Edwards,1255,0,0,0,746,1,746,760,896,1656,0,0,2,1,3,2.5,1,7,2,178,128,2.10720997,0,0,0,0,165400,9,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
Edwards,1258,0,0,0,864,1,864,864,0,864,0,0,1,0,2,1,1,4,0,0,96,1.982271233,0,0,0,0,99900,13,1922,98,1.991226076,5,8,3,3,3,22,1.740362689,0
Edwards,1274,1,719,0,300,1,1019,1357,0,1357,1,0,1,0,2,1,1,5,1,0,0,0.01,0,0,163,0,177000,9,1959,61,1.785329835,6,7,3,3,5,24,1.785329835,163
Edwards,1295,1,167,0,697,1,864,864,0,864,1,0,1,0,2,1,1,5,2,0,0,0.01,0,0,0,0,115000,10,1955,65,1.812913357,5,7,3,3,3,21,1.698970004,0
Edwards,1298,1,547,0,0,1,547,1072,0,1072,1,0,2,0,2,2,1,5,2,0,44,1.643452676,0,0,0,0,140000,10,2005,15,1.176091259,6,5,3,3,3,20,1.653212514,0
Edwards,1299,1,5644,0,466,1,6110,4692,950,5642,2,0,2,1,3,2.5,1,12,2,214,292,2.465382851,0,0,0,480,160000,5,2008,12,1.079181246,10,5,5,3,5,28,1.875061263,0
Edwards,1305,0,0,0,976,1,976,976,732,1708,0,0,2,0,3,2,1,7,2,0,40,1.602059991,0,0,0,0,130000,11,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Edwards,1315,1,732,0,216,1,948,948,0,948,1,0,1,0,3,1,1,5,1,0,36,1.556302501,0,0,0,0,119000,9,1954,66,1.819543936,4,6,3,3,3,19,1.591064607,0
Edwards,1320,1,492,0,372,1,864,948,0,948,0,0,1,0,3,1,1,5,1,0,0,0.01,0,0,0,0,111000,11,1954,66,1.819543936,4,5,3,3,3,18,1.544068044,0
Edwards,1327,1,544,0,0,1,544,774,0,774,0,0,1,0,3,1,1,6,0,0,0,0.01,286,0,0,0,79000,12,1931,89,1.949390007,3,6,3,3,4,19,1.544068044,286
Edwards,1333,1,690,0,126,1,816,816,0,816,1,0,1,0,2,1,1,3,1,0,0,0.01,0,0,0,0,100000,10,1938,82,1.913813852,4,6,3,3,3,19,1.591064607,0
Edwards,1378,1,408,420,156,1,984,984,620,1604,0,0,2,0,3,2,1,6,2,0,68,1.832508913,0,0,0,0,117000,8,1941,79,1.897627091,5,5,3,3,3,19,1.602059991,0
Edwards,1381,1,203,0,661,1,864,864,0,864,1,0,1,0,2,1,1,5,1,0,0,0.01,96,0,0,0,58500,9,1914,106,2.025305865,3,3,3,2,3,14,1.322219295,96
Edwards,1385,1,204,0,356,1,560,698,560,1258,0,0,1,0,2,1,1,6,1,0,0,0.01,0,0,0,0,105000,10,1939,81,1.908485019,6,5,3,3,3,20,1.653212514,0
Edwards,1424,0,0,0,697,1,697,1575,626,2201,0,0,2,0,4,2,1,8,2,586,236,2.372912003,0,0,0,738,274970,9,1966,54,1.73239376,6,7,4,4,4,25,1.819543936,0
Edwards,1449,0,0,0,560,1,560,796,550,1346,0,0,1,1,2,1.5,1,6,1,168,24,1.380211242,0,0,0,0,112000,9,1910,110,2.041392685,4,7,3,3,3,20,1.633468456,0
Edwards,1453,1,547,0,0,1,547,1072,0,1072,1,0,1,0,2,1,1,5,2,0,28,1.447158031,0,0,0,0,145000,10,2005,15,1.176091259,5,5,3,3,3,19,1.602059991,0
Edwards,1460,1,830,290,136,1,1256,1256,0,1256,1,0,1,1,3,1.5,1,6,1,736,68,1.832508913,0,0,0,0,147500,6,1965,55,1.740362689,5,6,4,3,3,21,1.681241237,0
Gilbert,51,1,182,0,612,1,794,794,676,1470,0,1,2,0,3,2,1,6,2,0,75,1.875061263,0,0,0,0,177000,8,1997,23,1.361727836,6,6,3,3,3,21,1.707570176,0
Gilbert,73,0,0,0,832,1,832,885,833,1718,0,0,2,1,3,2.5,1,7,2,0,94,1.973127854,0,0,291,0,185000,9,1998,22,1.342422681,7,5,3,3,3,21,1.698970004,291
Gilbert,85,0,0,0,384,1,384,804,670,1474,0,0,2,1,3,2.5,1,7,2,120,72,1.857332496,0,0,0,0,168500,9,1995,25,1.397940009,7,5,3,3,3,21,1.698970004,0
Gilbert,87,0,0,0,684,1,684,684,876,1560,0,0,2,1,3,2.5,1,6,2,100,38,1.579783597,0,0,0,0,174000,9,2005,15,1.176091259,6,5,4,3,4,22,1.698970004,0
Gilbert,96,1,310,0,370,1,680,680,790,1470,0,0,2,1,3,2.5,1,6,2,232,63,1.799340549,0,0,0,0,185000,7,1993,27,1.431363764,6,8,5,4,3,26,1.86923172,0
Gilbert,112,1,250,0,134,1,384,774,656,1430,0,0,2,1,3,2.5,1,7,2,180,0,0.01,0,0,0,0,180000,8,2000,20,1.301029996,7,5,3,3,3,21,1.698970004,0
Gilbert,132,1,695,0,297,1,992,1022,1032,2054,1,0,2,1,3,2.5,1,7,2,24,48,1.681241237,0,0,0,0,244000,6,2000,20,1.301029996,6,5,4,3,4,22,1.698970004,0
Gilbert,148,0,0,0,884,1,884,884,1151,2035,0,0,2,1,3,2.5,1,8,2,144,48,1.681241237,0,0,0,0,222500,9,2001,19,1.278753601,7,5,4,3,4,23,1.740362689,0
Gilbert,160,1,57,0,1335,1,1392,1392,1070,2462,1,0,2,1,4,2.5,1,9,2,239,132,2.120573931,0,168,0,0,320000,5,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,168
Gilbert,169,0,0,0,840,1,840,840,880,1720,0,0,2,1,3,2.5,1,7,2,100,48,1.681241237,0,0,0,0,183500,9,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Gilbert,206,0,0,0,1424,1,1424,1442,0,1442,0,0,2,0,3,2,1,5,2,0,34,1.531478917,0,508,0,0,180500,11,1990,30,1.477121255,7,5,3,3,3,21,1.698970004,508
Gilbert,222,0,0,0,1010,1,1010,1010,1257,2267,0,0,2,1,4,2.5,1,8,2,120,46,1.662757832,0,0,0,0,200000,9,2002,18,1.255272505,6,5,4,3,4,22,1.698970004,0
Gilbert,235,1,625,0,235,1,860,860,1100,1960,1,0,2,1,4,2.5,1,8,2,288,48,1.681241237,0,0,0,0,216500,6,2002,18,1.255272505,6,5,4,3,4,22,1.698970004,0
Gilbert,256,0,0,0,975,1,975,1005,1286,2291,0,0,2,1,4,2.5,1,8,2,192,0,0.01,0,0,0,0,230000,10,1999,21,1.322219295,7,5,4,3,4,23,1.740362689,0
Gilbert,267,1,714,0,88,1,802,802,709,1511,1,0,2,1,3,2.5,1,8,2,95,75,1.875061263,0,0,0,0,185000,6,1997,23,1.361727836,6,5,3,3,3,20,1.653212514,0
Gilbert,278,1,120,0,744,1,864,864,0,864,0,0,1,0,2,1,1,4,2,0,0,0.01,0,0,0,0,141000,11,1951,69,1.838849091,4,5,3,3,3,18,1.544068044,0
Gilbert,311,1,518,0,179,1,697,697,804,1501,0,0,2,1,3,2.5,1,6,2,190,63,1.799340549,0,0,0,0,165600,7,1993,27,1.431363764,6,5,3,3,4,21,1.672097858,0
Gilbert,316,1,425,0,291,1,716,716,716,1432,1,0,2,1,3,2.5,1,6,2,100,51,1.707570176,0,0,0,0,188500,6,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Gilbert,335,1,828,0,115,1,943,943,695,1638,1,0,2,1,3,2.5,1,7,2,100,38,1.579783597,0,0,0,0,192000,6,1998,22,1.342422681,6,5,3,3,3,20,1.653212514,0
Gilbert,357,1,560,0,598,1,1158,1167,0,1167,1,0,2,0,3,2,1,6,2,120,26,1.414973348,0,0,0,0,173000,8,1992,28,1.447158031,6,6,3,3,4,22,1.72427587,0
Gilbert,371,0,0,0,953,1,953,953,711,1664,0,0,2,1,3,2.5,1,7,2,100,40,1.602059991,0,0,0,0,172400,9,2000,20,1.301029996,6,5,3,3,3,20,1.653212514,0
Gilbert,380,0,0,0,982,1,982,1007,793,1800,0,0,2,1,3,2.5,1,7,2,100,63,1.799340549,0,0,0,0,179000,9,2000,20,1.301029996,6,5,3,3,3,20,1.653212514,0
Gilbert,405,0,0,0,806,1,806,806,766,1572,0,0,2,1,3,2.5,1,7,2,0,40,1.602059991,0,0,0,0,168000,10,1995,25,1.397940009,6,5,3,3,3,20,1.653212514,0
Gilbert,412,1,1056,0,0,1,1056,1056,0,1056,1,0,1,0,3,1,1,5,2,264,0,0.01,0,0,0,0,145000,10,1955,65,1.812913357,5,5,3,3,3,19,1.602059991,0
Gilbert,416,1,24,0,1316,1,1340,1340,0,1340,0,0,2,0,3,2,1,6,2,100,30,1.477121255,0,0,0,0,181134,9,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Gilbert,434,0,0,0,926,1,926,926,678,1604,0,0,2,1,3,2.5,1,7,2,0,36,1.556302501,0,0,0,0,181000,10,1997,23,1.361727836,6,5,3,3,3,20,1.653212514,0
Gilbert,448,0,0,0,930,1,930,956,930,1886,0,0,2,1,4,2.5,1,10,2,89,0,0.01,0,0,0,0,199900,10,1998,22,1.342422681,7,5,4,3,4,23,1.740362689,0
Gilbert,493,0,0,0,728,1,728,728,728,1456,0,0,2,1,3,2.5,1,8,2,0,0,0.01,0,0,0,0,172785,11,2006,14,1.146128036,6,5,4,3,3,21,1.681241237,0
Gilbert,535,0,0,0,707,1,707,707,707,1414,0,0,2,1,3,2.5,1,6,2,100,35,1.544068044,0,0,0,0,178000,9,2004,16,1.204119983,8,5,4,3,4,24,1.77815125,0
Gilbert,545,1,554,0,100,1,654,664,832,1496,1,0,2,1,3,2.5,1,7,2,100,24,1.380211242,0,0,0,0,179665,6,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Gilbert,559,1,604,0,125,1,729,729,717,1446,0,1,2,1,3,2.5,1,6,2,264,22,1.342422681,0,0,0,0,175000,6,1996,24,1.380211242,7,5,3,3,3,21,1.698970004,0
Gilbert,574,0,0,0,384,1,384,774,656,1430,0,0,2,1,3,2.5,1,8,2,100,0,0.01,0,0,0,0,170000,10,2000,20,1.301029996,7,5,3,3,3,21,1.698970004,0
Gilbert,617,1,457,0,326,1,783,807,702,1509,1,0,2,1,3,2.5,1,7,2,100,75,1.875061263,0,0,0,0,183200,6,2002,18,1.255272505,6,5,4,3,4,22,1.698970004,0
Gilbert,666,0,0,0,1406,1,1406,1454,482,1936,0,0,2,1,3,2.5,1,7,2,188,124,2.093421685,0,0,0,0,230500,9,2000,20,1.301029996,8,5,4,3,4,24,1.77815125,0
Gilbert,709,0,0,0,728,1,728,728,728,1456,0,0,2,1,3,2.5,1,8,2,100,24,1.380211242,0,0,0,0,179540,9,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Gilbert,738,0,0,0,893,1,893,901,900,1801,0,0,2,1,3,2.5,1,8,3,0,116,2.064457989,0,0,0,0,239900,10,2005,15,1.176091259,8,5,4,3,4,24,1.77815125,0
Gilbert,747,1,300,0,652,1,952,980,1276,2256,0,0,2,1,4,2.5,1,8,2,224,54,1.73239376,0,0,0,0,236000,7,2000,20,1.301029996,7,5,4,3,4,23,1.740362689,0
Gilbert,752,0,0,0,660,1,660,660,660,1320,0,0,2,1,3,2.5,1,6,2,0,48,1.681241237,0,0,0,0,162000,10,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
Gilbert,781,0,0,0,1237,1,1237,1253,0,1253,0,0,2,0,3,2,1,6,2,220,21,1.322219295,0,0,0,0,176000,11,1995,25,1.397940009,7,5,3,3,3,21,1.698970004,0
Gilbert,795,0,0,0,712,1,712,1086,809,1895,0,0,2,1,3,2.5,1,7,2,143,46,1.662757832,0,0,0,0,194500,9,1994,26,1.414973348,7,5,4,3,4,23,1.740362689,0
Gilbert,823,0,0,0,847,1,847,847,886,1733,0,0,2,1,3,2.5,1,7,2,100,48,1.681241237,0,0,0,0,225000,9,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
Gilbert,858,0,0,0,702,1,702,702,779,1481,0,0,2,1,3,2.5,1,6,2,0,36,1.556302501,0,0,0,0,174000,10,1994,26,1.414973348,6,5,3,3,3,20,1.653212514,0
Gilbert,869,0,0,0,0,0,0,1547,720,2320,0,0,2,0,2,2,1,7,2,120,144,2.158362492,0,0,0,0,169000,13,1948,72,1.857332496,5,6,3,3,3,20,1.653212514,0
Gilbert,883,0,0,0,808,1,808,808,785,1593,0,0,2,1,3,2.5,1,7,2,342,40,1.602059991,0,0,0,0,178000,9,1992,28,1.447158031,6,5,3,3,3,20,1.653212514,0
Gilbert,903,0,0,0,783,1,783,807,702,1509,0,0,2,1,3,2.5,1,8,2,0,75,1.875061263,0,0,0,0,180000,10,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
Gilbert,904,0,0,0,1670,1,1670,1670,0,1670,0,0,2,0,3,2,1,7,3,144,60,1.77815125,0,0,0,0,240000,11,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Gilbert,910,0,0,0,742,1,742,742,742,1484,0,0,2,1,3,2.5,1,8,2,36,24,1.380211242,0,0,0,0,174000,9,2005,15,1.176091259,6,5,4,3,4,22,1.698970004,0
Gilbert,923,1,28,0,1288,1,1316,1316,0,1316,0,0,2,0,3,2,1,6,2,100,0,0.01,0,23,0,0,169990,9,2005,15,1.176091259,6,5,4,3,4,22,1.698970004,23
Gilbert,930,0,0,0,964,1,964,993,1243,2236,0,0,2,1,4,2.5,1,8,2,0,0,0.01,0,0,0,0,222000,11,1997,23,1.361727836,7,5,3,3,4,22,1.716003344,0
Gilbert,942,1,772,0,220,1,992,1022,1038,2060,1,0,2,1,3,2.5,1,8,2,0,0,0.01,0,168,0,0,214000,7,1999,21,1.322219295,7,5,4,3,4,23,1.740362689,168
Gilbert,966,0,0,0,783,1,783,783,701,1484,0,0,2,1,3,2.5,1,8,2,0,72,1.857332496,0,0,0,0,178900,10,2005,15,1.176091259,6,5,4,3,4,22,1.698970004,0
Gilbert,1019,0,0,0,384,1,384,802,670,1472,0,0,2,1,3,2.5,1,7,2,164,0,0.01,0,0,0,0,160000,10,1991,29,1.462397998,7,5,4,3,4,23,1.740362689,0
Gilbert,1051,0,0,0,1302,1,1302,1302,0,1302,0,0,2,0,3,2,1,6,2,0,22,1.342422681,0,0,0,0,176485,12,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Gilbert,1067,0,0,0,799,1,799,799,772,1571,0,0,2,1,3,2.5,1,7,2,0,40,1.602059991,0,0,0,0,178000,10,1993,27,1.431363764,6,7,4,3,3,23,1.77815125,0
Gilbert,1085,1,592,0,99,1,691,691,807,1498,0,0,2,1,3,2.5,1,6,2,315,44,1.643452676,0,0,0,0,187500,7,1995,25,1.397940009,6,5,3,3,3,20,1.653212514,0
Gilbert,1108,0,0,0,868,1,868,887,1134,2021,0,0,2,1,3,2.5,1,9,2,0,100,2,0,0,0,0,274725,10,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Gilbert,1109,0,0,0,924,1,924,948,742,1690,0,0,2,1,3,2.5,1,7,2,100,48,1.681241237,0,0,0,0,181000,9,2000,20,1.301029996,6,5,3,3,3,20,1.653212514,0
Gilbert,1111,1,219,0,554,1,773,773,885,1658,1,0,2,1,3,2.5,1,8,2,224,84,1.924279286,0,0,0,0,188000,6,1995,25,1.397940009,6,5,3,3,3,20,1.653212514,0
Gilbert,1117,1,353,0,55,1,408,779,640,1419,1,0,2,1,3,2.5,1,7,2,120,0,0.01,0,0,0,0,184100,7,2002,18,1.255272505,8,5,4,3,4,24,1.77815125,0
Gilbert,1125,0,0,0,384,1,384,812,670,1482,0,0,2,1,3,2.5,1,7,2,100,25,1.397940009,0,0,0,0,163900,9,1992,28,1.447158031,7,5,3,3,4,22,1.716003344,0
Gilbert,1128,1,1300,0,230,1,1530,1530,0,1530,1,0,2,0,3,2,1,7,3,144,36,1.556302501,0,0,0,0,259000,8,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Gilbert,1129,0,0,0,847,1,847,847,1112,1959,0,0,2,1,4,2.5,1,8,2,100,48,1.681241237,0,0,0,0,215000,9,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Gilbert,1135,0,0,0,916,1,916,916,684,1600,0,0,2,1,3,2.5,1,7,2,100,38,1.579783597,0,0,0,0,169000,9,1997,23,1.361727836,6,5,3,3,3,20,1.653212514,0
Gilbert,1168,1,786,0,173,1,959,959,712,1671,1,0,2,1,3,2.5,1,7,2,0,38,1.579783597,0,0,0,0,173000,7,2000,20,1.301029996,6,5,3,3,3,20,1.653212514,0
